,Table 1. Current-Dollar Gross Domestic Product (GDP) by Metropolitan Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,Millions of dollars,,,,,,2014 Rank*
64,"Champaign-Urbana, IL",9447,9630.0,9712.0,10030.0,10532.0,10394,191
65,"Charleston, WV",12789,13337.0,14159.0,13478.0,13569.0,14642,148
66,"Charleston-North Charleston, SC",27790,28751.0,30388.0,31877.0,33032.0,34428,76
67,"Charlotte-Concord-Gastonia, NC-SC",112075,116164.0,124937.0,129239.0,137680.0,143628,22
68,"Charlottesville, VA",9581,10069.0,10552.0,11005.0,11523.0,11734,179
69,"Chattanooga, TN-GA",20374,20748.0,21165.0,21860.0,22453.0,22667,107
70,"Cheyenne, WY",4603,4835.0,5217.0,5387.0,5363.0,5533,283
71,"Chicago-Naperville-Elgin, IL-IN-WI",521172,534667.0,551983.0,579667.0,589812.0,610552,3
72,"Chico, CA",6237,6348.0,6395.0,6392.0,6683.0,6891,244
73,"Cincinnati, OH-KY-IN",100311,104120.0,108189.0,112971.0,116671.0,121407,29
74,"Clarksville, TN-KY",9288,9749.0,10498.0,10777.0,10795.0,10866,185
75,"Cleveland, TN",3269,3267.0,3426.0,3924.0,4003.0,4172,339
76,"Cleveland-Elyria, OH",105050,109190.0,114383.0,117595.0,121138.0,124609,27
77,"Coeur d'Alene, ID",4316,4343.0,4416.0,4410.0,4665.0,4901,304
78,"College Station-Bryan, TX",7071,7355.0,7488.0,8012.0,8532.0,9026,207
79,"Colorado Springs, CO",25209,26509.0,27229.0,27819.0,27987.0,29232,86
80,"Columbia, MO",6557,6812.0,6997.0,7241.0,7761.0,8025,217
81,"Columbia, SC",31855,31979.0,32777.0,33665.0,34895.0,36358,73
82,"Columbus, GA-AL",11693,12193.0,12745.0,13070.0,13413.0,13729,158
83,"Columbus, IN",3965,4430.0,4651.0,5100.0,5251.0,5446,290
84,"Columbus, OH",93017,96482.0,101556.0,107992.0,113487.0,117824,30
85,"Corpus Christi, TX",17657,19095.0,20546.0,21865.0,23866.0,25146,94
86,"Corvallis, OR",5190,5400.0,5281.0,4996.0,4709.0,4733,320
87,"Crestview-Fort Walton Beach-Destin, FL",11528,11010.0,11455.0,11532.0,11803.0,12002,174
88,"Cumberland, MD-WV",2695,2818.0,2862.0,2899.0,2958.0,3003,370
89,"Dallas-Fort Worth-Arlington, TX",355756,375940.0,402824.0,430109.0,461320.0,504358,5
90,"Dalton, GA",5335,4941.0,5260.0,5364.0,5514.0,5768,272
91,"Danville, IL",2503,2565.0,2659.0,2740.0,2845.0,2805,375
92,"Daphne-Fairhope-Foley, AL",5565,5644.0,5758.0,5904.0,6339.0,6488,254
93,"Davenport-Moline-Rock Island, IA-IL",17001,17717.0,18533.0,19336.0,19780.0,19707,119
94,"Dayton, OH",33377,34348.0,35969.0,36594.0,37396.0,38178,68
95,"Decatur, AL",4879,5064.0,5045.0,5242.0,5422.0,5498,285
96,"Decatur, IL",5641,5607.0,5782.0,5776.0,5754.0,6220,260
97,"Deltona-Daytona Beach-Ormond Beach, FL",13364,13484.0,13166.0,13499.0,13878.0,14579,149
98,"Denver-Aurora-Lakewood, CO",150035,155391.0,160492.0,167964.0,175635.0,187111,18
99,"Des Moines-West Des Moines, IA",35543,36462.0,38422.0,41760.0,43222.0,45226,60
100,"Detroit-Warren-Dearborn, MI",186325,197789.0,206508.0,217418.0,226926.0,236500,13
